index,x,y,z,length,width,height
1,(0,0,0),(72,84,85)
2,(72,0,0),(72,84,85)
3,(144,0,0),(72,84,85)
4,(216,0,0),(72,84,85)
5,(288,0,0),(72,84,85)
6,(360,0,0),(72,84,85)
7,(432,0,0),(72,84,85)
8,(504,0,0),(72,84,85)
9,(0,0,85),(84,72,85)
10,(0,84,0),(72,84,85)
11,(84,0,85),(72,84,85)
12,(72,84,0),(72,84,85)
13,(156,0,85),(72,84,85)
14,(144,84,0),(72,84,85)
15,(228,0,85),(72,84,85)
16,(216,84,0),(72,84,85)
17,(0,168,0),(76,64,103)
18,(288,84,0),(64,76,103)
19,(352,84,0),(64,76,103)
20,(416,84,0),(64,76,103)
21,(480,84,0),(64,76,103)
22,(76,168,0),(76,64,103)
23,(0,72,85),(64,76,103)
24,(64,84,85),(64,76,103)
25,(128,84,85),(64,76,103)
26,(192,84,85),(64,76,103)
27,(300,0,85),(64,76,103)
28,(288,160,0),(62,70,95)
29,(350,160,0),(62,70,95)
30,(412,160,0),(62,70,95)
31,(474,160,0),(62,70,95)
32,(152,160,85),(62,70,95)
33,(214,160,85),(62,70,95)
34,(364,0,85),(62,70,95)
35,(426,0,85),(62,70,95)
36,(488,0,85),(62,70,95)
37,(276,160,95),(62,70,95)
38,(338,160,95),(62,70,95)
39,(400,160,95),(62,70,95)
40,(462,160,95),(62,70,95)
41,(524,160,95),(62,70,95)
42,(544,84,0),(38,76,86)
43,(544,70,86),(38,76,86)
44,(256,84,103),(38,76,86)
45,(294,84,103),(38,76,86)
46,(332,76,103),(38,76,86)
47,(370,70,103),(38,76,86)
48,(408,70,103),(38,76,86)
49,(446,70,103),(38,76,86)
50,(484,70,103),(38,76,86)
51,(0,160,103),(76,38,86)
52,(76,160,103),(76,38,86)
53,(152,168,0),(47,48,71)
54,(199,168,0),(47,48,71)
55,(536,160,0),(47,48,71)
56,(0,0,170),(47,71,48)
57,(47,0,170),(47,71,48)
58,(94,0,170),(47,71,48)
59,(141,0,170),(47,71,48)
60,(188,0,170),(47,71,48)
61,(235,0,170),(47,71,48)
62,(550,0,85),(26,49,111)
63,(0,198,103),(49,26,111)
64,(49,198,103),(49,26,111)
65,(98,198,103),(49,26,111)
66,(152,71,188),(49,111,26)
67,(201,71,188),(49,111,26)
68,(364,0,180),(111,49,26)
69,(0,71,188),(111,49,26)
70,(152,182,180),(111,49,26)
71,(250,71,189),(111,49,26)
72,(361,49,189),(111,49,26)
73,(472,49,189),(49,111,26)
74,(521,49,189),(49,111,26)
75,(246,168,0),(41,51,60)
76,(475,0,180),(31,48,36)
77,(506,0,180),(31,48,36)
78,(111,71,188),(36,48,31)
79,(282,0,188),(36,48,31)
80,(318,0,188),(36,48,31)
81,(0,120,188),(48,36,31)
82,(48,120,188),(48,36,31)
83,(96,120,188),(48,36,31)
84,(536,208,0),(21,25,49)
85,(557,208,0),(21,25,49)
86,(522,70,103),(21,25,49)
87,(522,95,103),(21,25,49)
88,(522,120,103),(21,25,49)
89,(550,49,85),(25,21,49)
90,(550,49,134),(25,21,49)
91,(246,168,60),(21,49,25)
92,(267,168,60),(21,49,25)
93,(522,70,152),(21,49,25)
94,(250,120,189),(21,49,25)
95,(361,98,189),(21,49,25)
96,(382,98,189),(21,49,25)
container,,,,587, 233, 220
