index,x,y,z,length,width,height
1,(0,0,0),(72,84,85)
2,(72,0,0),(72,84,85)
3,(144,0,0),(72,84,85)
4,(216,0,0),(72,84,85)
5,(288,0,0),(72,84,85)
6,(360,0,0),(72,84,85)
7,(432,0,0),(72,84,85)
8,(504,0,0),(72,84,85)
9,(0,0,85),(84,72,85)
10,(0,84,0),(72,84,85)
11,(0,168,0),(76,64,103)
12,(72,84,0),(64,76,103)
13,(136,84,0),(64,76,103)
14,(200,84,0),(64,76,103)
15,(264,84,0),(64,76,103)
16,(328,84,0),(64,76,103)
17,(392,84,0),(64,76,103)
18,(456,84,0),(64,76,103)
19,(76,160,0),(62,70,95)
20,(138,160,0),(62,70,95)
21,(200,160,0),(62,70,95)
22,(262,160,0),(62,70,95)
23,(324,160,0),(62,70,95)
24,(386,160,0),(62,70,95)
25,(520,84,0),(38,76,86)
26,(448,160,0),(76,38,86)
27,(0,72,85),(38,76,86)
28,(84,0,85),(38,76,86)
29,(122,0,85),(38,76,86)
30,(160,0,85),(38,76,86)
31,(198,0,85),(38,76,86)
32,(236,0,85),(38,76,86)
33,(274,0,85),(38,76,86)
34,(312,0,85),(38,76,86)
35,(350,0,85),(38,76,86)
36,(388,0,85),(38,76,86)
37,(524,160,0),(44,52,98)
38,(426,0,85),(44,52,98)
39,(470,0,85),(44,52,98)
40,(514,0,85),(44,52,98)
41,(448,160,86),(44,52,98)
42,(520,52,86),(44,52,98)
43,(520,104,86),(44,52,98)
44,(76,160,95),(44,52,98)
45,(120,160,95),(44,52,98)
46,(164,160,95),(47,48,71)
47,(211,160,95),(47,48,71)
48,(258,160,95),(47,48,71)
49,(305,160,95),(47,48,71)
50,(352,160,95),(47,48,71)
51,(399,160,95),(47,48,71)
52,(492,160,98),(47,48,71)
53,(539,156,98),(47,48,71)
54,(0,148,103),(47,48,71)
55,(38,76,103),(47,48,71)
56,(85,76,103),(47,48,71)
57,(132,76,103),(47,48,71)
58,(179,76,103),(47,48,71)
59,(226,76,103),(47,48,71)
60,(558,0,85),(26,49,111)
61,(47,124,103),(26,49,111)
62,(47,173,103),(26,49,111)
63,(273,76,103),(26,49,111)
64,(299,76,103),(26,49,111)
65,(325,76,103),(26,49,111)
66,(351,76,103),(26,49,111)
67,(377,76,103),(26,49,111)
68,(403,76,103),(26,49,111)
69,(429,52,103),(26,49,111)
70,(429,101,103),(33,43,90)
71,(455,52,103),(33,43,90)
72,(462,95,103),(33,43,90)
73,(0,196,103),(43,33,90)
74,(73,124,103),(43,33,90)
75,(116,124,103),(43,33,90)
76,(159,124,103),(43,33,90)
77,(202,124,103),(43,33,90)
78,(245,125,103),(43,33,90)
79,(164,157,166),(41,60,51)
80,(205,158,166),(41,60,51)
81,(246,158,166),(41,60,51)
82,(287,158,166),(41,60,51)
83,(328,125,166),(41,60,51)
84,(369,125,166),(41,60,51)
85,(328,185,166),(60,41,51)
86,(388,185,166),(60,41,51)
87,(492,156,169),(51,60,41)
88,(543,156,169),(40,74,42)
89,(1,0,171),(40,74,42)
90,(41,0,170),(40,74,42)
91,(81,0,171),(40,74,42)
92,(121,0,171),(39,61,48)
93,(160,0,171),(39,61,48)
94,(199,0,171),(39,61,48)
95,(238,0,171),(39,61,48)
96,(277,0,171),(39,61,48)
97,(316,0,171),(39,61,48)
98,(355,0,171),(39,61,48)
99,(1,74,174),(61,48,39)
100,(62,74,174),(61,48,39)
101,(123,61,174),(61,48,39)
102,(184,61,174),(48,61,39)
103,(558,84,0),(23,37,73)
104,(558,121,0),(23,37,73)
105,(488,52,103),(23,37,73)
106,(495,89,103),(23,37,73)
107,(448,198,0),(37,23,73)
108,(485,198,0),(37,23,73)
109,(288,125,103),(37,23,73)
110,(394,0,171),(23,73,37)
111,(1,122,174),(23,73,37)
112,(24,122,174),(23,73,37)
113,(325,125,103),(36,31,48)
114,(361,125,103),(36,31,48)
115,(232,61,174),(31,48,36)
116,(417,0,183),(31,48,36)
117,(448,0,183),(31,48,36)
118,(479,0,183),(31,48,36)
119,(510,0,183),(31,48,36)
120,(448,144,184),(36,48,31)
121,(495,48,184),(36,48,31)
122,(495,96,184),(36,48,31)
123,(564,49,85),(21,25,49)
124,(564,74,85),(21,25,49)
125,(564,99,73),(21,25,49)
126,(564,124,73),(21,25,49)
127,(164,208,95),(21,25,49)
128,(185,208,95),(21,25,49)
129,(206,208,95),(21,25,49)
130,(227,208,95),(21,25,49)
131,(248,208,95),(21,25,49)
132,(269,208,95),(21,25,49)
133,(290,208,95),(21,25,49)
134,(311,208,95),(21,25,49)
135,(332,208,95),(21,25,49)
container,,,,587, 233, 220
