index,x,y,z,length,width,height
1,(0,0,0),(51,79,118)
2,(51,0,0),(51,79,118)
3,(102,0,0),(51,79,118)
4,(153,0,0),(51,79,118)
5,(204,0,0),(51,79,118)
6,(255,0,0),(51,79,118)
7,(306,0,0),(51,79,118)
8,(357,0,0),(51,79,118)
9,(408,0,0),(51,79,118)
10,(459,0,0),(51,79,118)
11,(510,0,0),(51,79,118)
12,(0,79,0),(51,118,79)
13,(51,79,0),(51,79,118)
14,(102,79,0),(51,79,118)
15,(153,79,0),(51,79,118)
16,(204,79,0),(51,79,118)
17,(51,158,0),(55,60,95)
18,(106,158,0),(55,60,95)
19,(161,158,0),(55,60,95)
20,(216,158,0),(55,60,95)
21,(255,79,0),(55,60,95)
22,(271,139,0),(55,60,95)
23,(310,79,0),(55,60,95)
24,(326,139,0),(55,60,95)
25,(365,79,0),(55,60,95)
26,(381,139,0),(55,60,95)
27,(420,79,0),(55,60,95)
28,(436,139,0),(55,60,95)
29,(475,79,0),(55,60,95)
30,(491,139,0),(55,60,95)
31,(1,158,95),(52,66,80)
32,(53,158,95),(52,66,80)
33,(105,158,95),(52,66,80)
34,(157,158,95),(52,66,80)
35,(209,158,95),(52,66,80)
36,(255,79,95),(52,66,80)
37,(261,145,95),(52,66,80)
38,(307,79,95),(52,66,80)
39,(313,145,95),(52,66,80)
40,(359,79,95),(52,66,80)
41,(365,145,95),(52,66,80)
42,(411,79,95),(52,66,80)
43,(417,145,95),(52,66,80)
44,(463,79,95),(52,66,80)
45,(546,79,0),(35,70,84)
46,(546,149,0),(35,70,84)
47,(0,79,79),(35,70,84)
48,(546,79,84),(35,70,84)
49,(546,149,84),(35,70,84)
50,(469,145,95),(35,70,84)
51,(504,145,95),(35,70,84)
52,(0,0,118),(35,70,84)
53,(35,0,118),(35,70,84)
54,(35,70,118),(35,70,84)
55,(70,0,118),(52,58,64)
56,(70,58,118),(52,58,64)
57,(122,0,118),(52,58,64)
58,(122,58,118),(52,58,64)
59,(174,0,118),(52,58,64)
60,(174,58,118),(52,58,64)
61,(226,0,118),(52,58,64)
62,(278,0,118),(52,58,64)
63,(330,0,118),(52,58,64)
64,(382,0,118),(52,58,64)
65,(434,0,118),(52,58,64)
66,(486,0,118),(52,58,64)
67,(561,0,0),(23,73,109)
68,(561,0,109),(23,73,109)
69,(271,199,0),(109,23,73)
70,(380,199,0),(109,23,73)
71,(70,116,118),(109,23,73)
72,(226,58,175),(73,109,23)
73,(299,58,175),(73,109,23)
74,(372,58,175),(73,109,23)
75,(70,0,182),(73,109,23)
76,(143,0,182),(73,109,23)
77,(445,0,182),(73,109,23)
78,(445,109,179),(73,109,23)
79,(70,109,191),(73,109,23)
80,(143,109,191),(73,109,23)
81,(179,116,118),(76,36,57)
82,(518,73,179),(57,76,36)
83,(518,149,179),(57,76,36)
84,(216,167,175),(76,57,36)
85,(292,167,175),(76,57,36)
86,(368,167,175),(76,57,36)
87,(216,0,182),(76,57,36)
88,(292,0,182),(76,57,36)
89,(368,0,182),(76,57,36)
90,(1,140,175),(55,64,43)
91,(0,197,0),(31,32,86)
92,(489,199,0),(31,32,86)
93,(0,70,163),(32,42,42)
94,(518,0,182),(42,42,32)
container,,,,587, 233, 220
