index,x,y,z,length,width,height
1,(0,0,0),(64,76,103)
2,(64,0,0),(64,76,103)
3,(128,0,0),(64,76,103)
4,(192,0,0),(64,76,103)
5,(256,0,0),(64,76,103)
6,(320,0,0),(64,76,103)
7,(384,0,0),(64,76,103)
8,(448,0,0),(64,76,103)
9,(512,0,0),(64,76,103)
10,(0,0,103),(76,64,103)
11,(0,76,0),(64,76,103)
12,(0,152,0),(64,76,103)
13,(76,0,103),(64,76,103)
14,(64,76,0),(64,76,103)
15,(64,152,0),(64,76,103)
16,(140,0,103),(64,76,103)
17,(128,76,0),(64,76,103)
18,(128,152,0),(64,76,103)
19,(204,0,103),(64,76,103)
20,(192,76,0),(64,76,103)
21,(192,152,0),(64,76,103)
22,(268,0,103),(64,76,103)
23,(256,76,0),(64,76,103)
24,(256,152,0),(64,76,103)
25,(332,0,103),(64,76,103)
26,(320,76,0),(64,76,103)
27,(320,152,0),(64,76,103)
28,(396,0,103),(64,76,103)
29,(384,76,0),(62,70,95)
30,(384,146,0),(62,70,95)
31,(384,76,95),(62,70,95)
32,(384,146,95),(62,70,95)
33,(0,64,103),(62,70,95)
34,(0,134,103),(62,70,95)
35,(62,76,103),(62,70,95)
36,(62,146,103),(62,70,95)
37,(124,76,103),(62,70,95)
38,(124,146,103),(62,70,95)
39,(186,76,103),(62,70,95)
40,(186,146,103),(62,70,95)
41,(248,76,103),(62,70,95)
42,(248,146,103),(62,70,95)
43,(310,76,103),(62,70,95)
44,(310,146,103),(62,70,95)
45,(460,0,103),(62,70,95)
46,(446,76,0),(62,70,95)
47,(446,146,0),(62,70,95)
48,(446,76,95),(62,70,95)
49,(446,146,95),(62,70,95)
50,(522,0,103),(62,70,95)
51,(508,76,0),(62,70,95)
52,(508,146,0),(62,70,95)
53,(508,76,95),(62,70,95)
54,(372,76,190),(49,111,26)
55,(508,146,95),(26,49,111)
56,(534,146,95),(26,49,111)
57,(560,146,95),(26,49,111)
58,(508,195,95),(49,26,111)
59,(0,204,103),(49,26,111)
60,(421,76,190),(49,111,26)
61,(470,70,190),(111,49,26)
62,(557,195,95),(21,25,49)
63,(557,195,144),(21,25,49)
64,(470,119,190),(21,49,25)
65,(470,168,190),(21,49,25)
66,(372,187,190),(49,21,25)
67,(372,208,190),(49,21,25)
68,(421,187,190),(49,21,25)
69,(421,208,190),(49,21,25)
70,(491,119,190),(49,21,25)
71,(0,64,198),(25,49,21)
72,(0,113,198),(25,49,21)
73,(25,64,198),(25,49,21)
74,(25,113,198),(25,49,21)
75,(50,64,198),(25,49,21)
76,(50,113,198),(25,49,21)
77,(49,162,198),(25,49,21)
78,(74,162,198),(25,49,21)
79,(75,76,198),(25,49,21)
80,(99,125,198),(25,49,21)
81,(99,174,198),(25,49,21)
82,(100,76,198),(25,49,21)
83,(124,125,198),(25,49,21)
container,,,,587, 233, 220
