index,x,y,z,length,width,height
1,(0,0,0),(56,61,106)
2,(56,0,0),(56,61,106)
3,(112,0,0),(56,61,106)
4,(168,0,0),(56,61,106)
5,(224,0,0),(56,61,106)
6,(280,0,0),(56,61,106)
7,(336,0,0),(56,61,106)
8,(392,0,0),(56,61,106)
9,(448,0,0),(56,61,106)
10,(504,0,0),(56,61,106)
11,(0,0,106),(61,56,106)
12,(0,61,0),(56,61,106)
13,(0,122,0),(56,61,106)
14,(61,0,106),(56,61,106)
15,(56,61,0),(56,61,106)
16,(56,122,0),(56,61,106)
17,(117,0,106),(56,61,106)
18,(112,61,0),(56,61,106)
19,(112,122,0),(56,61,106)
20,(0,56,106),(39,78,102)
21,(0,134,106),(39,78,102)
22,(39,61,106),(39,78,102)
23,(39,139,106),(39,78,102)
24,(78,61,106),(39,78,102)
25,(78,139,106),(39,78,102)
26,(117,61,106),(39,78,102)
27,(117,139,106),(39,78,102)
28,(173,0,106),(39,78,102)
29,(168,61,0),(39,78,102)
30,(168,139,0),(39,78,102)
31,(168,78,102),(39,78,102)
32,(212,0,106),(39,78,102)
33,(207,61,0),(39,78,102)
34,(207,139,0),(39,78,102)
35,(207,78,102),(39,78,102)
36,(251,0,106),(39,78,102)
37,(246,61,0),(39,78,102)
38,(246,139,0),(39,78,102)
39,(246,78,102),(39,78,102)
40,(290,0,106),(27,81,97)
41,(285,61,0),(27,81,97)
42,(285,142,0),(27,81,97)
43,(285,81,97),(27,81,97)
44,(317,0,106),(27,81,97)
45,(312,61,0),(27,81,97)
46,(312,142,0),(27,81,97)
47,(312,81,97),(27,81,97)
48,(344,0,106),(27,81,97)
49,(339,61,0),(27,81,97)
50,(285,162,97),(35,56,100)
51,(320,162,97),(35,56,100)
52,(168,156,102),(35,56,100)
53,(203,156,102),(35,56,100)
54,(238,156,102),(35,56,100)
55,(371,0,106),(35,56,100)
56,(366,61,0),(35,56,100)
57,(366,117,0),(35,56,100)
58,(355,173,0),(35,56,100)
59,(355,81,100),(35,56,100)
60,(355,137,100),(35,56,100)
61,(406,0,106),(35,56,100)
62,(390,173,0),(35,56,100)
63,(401,61,0),(35,56,100)
64,(401,117,0),(35,56,100)
65,(390,61,100),(35,56,100)
66,(390,117,100),(35,56,100)
67,(425,173,0),(46,36,113)
68,(436,61,0),(36,46,113)
69,(436,107,0),(36,46,113)
70,(471,153,0),(36,46,113)
71,(472,61,0),(36,46,113)
72,(472,107,0),(36,46,113)
73,(507,153,0),(36,46,113)
74,(508,61,0),(36,46,113)
75,(508,107,0),(36,46,113)
76,(543,153,0),(36,46,113)
77,(544,61,0),(36,46,113)
78,(544,107,0),(36,46,113)
79,(355,193,100),(46,36,113)
80,(441,0,106),(36,46,113)
81,(477,0,106),(36,46,113)
82,(513,0,106),(36,46,113)
83,(549,0,106),(36,46,113)
84,(425,56,113),(36,113,46)
85,(0,183,0),(40,50,91)
86,(40,183,0),(40,50,91)
87,(80,183,0),(40,50,91)
88,(120,183,0),(40,50,91)
89,(425,169,113),(40,50,91)
90,(461,46,113),(40,50,91)
91,(461,96,113),(40,50,91)
92,(465,146,113),(40,50,91)
93,(501,46,113),(40,50,91)
94,(501,96,113),(40,50,91)
95,(505,146,113),(40,50,91)
96,(541,46,113),(40,50,91)
97,(541,96,113),(40,50,91)
98,(545,146,113),(40,50,91)
99,(471,199,0),(26,30,101)
100,(497,199,0),(26,30,101)
101,(523,199,0),(26,30,101)
102,(549,199,0),(26,30,101)
103,(560,0,0),(26,30,101)
104,(560,30,0),(26,30,101)
105,(471,199,101),(26,30,101)
106,(497,199,101),(26,30,101)
107,(523,199,101),(26,30,101)
108,(549,199,101),(26,30,101)
109,(425,56,159),(26,101,30)
110,(425,56,189),(26,101,30)
container,,,,587, 233, 220
