index,x,y,z,length,width,height
1,(0,0,0),(33,92,113)
2,(33,0,0),(33,92,113)
3,(66,0,0),(33,92,113)
4,(99,0,0),(33,92,113)
5,(132,0,0),(33,92,113)
6,(165,0,0),(33,92,113)
7,(198,0,0),(33,92,113)
8,(231,0,0),(33,92,113)
9,(264,0,0),(33,92,113)
10,(297,0,0),(33,92,113)
11,(330,0,0),(33,92,113)
12,(363,0,0),(33,92,113)
13,(396,0,0),(33,92,113)
14,(429,0,0),(33,92,113)
15,(462,0,0),(33,92,113)
16,(0,92,0),(39,119,59)
17,(39,92,0),(39,59,119)
18,(39,151,0),(39,59,119)
19,(78,92,0),(39,59,119)
20,(78,151,0),(39,59,119)
21,(117,92,0),(39,59,119)
22,(117,151,0),(39,59,119)
23,(156,92,0),(39,59,119)
24,(156,151,0),(39,59,119)
25,(195,92,0),(39,59,119)
26,(195,151,0),(39,59,119)
27,(234,92,0),(39,59,119)
28,(234,151,0),(39,59,119)
29,(273,92,0),(39,59,119)
30,(273,151,0),(39,59,119)
31,(312,92,0),(39,59,119)
32,(312,151,0),(39,59,119)
33,(351,92,0),(39,59,119)
34,(351,151,0),(39,59,119)
35,(390,92,0),(47,49,116)
36,(390,141,0),(47,49,116)
37,(437,92,0),(47,49,116)
38,(437,141,0),(47,49,116)
39,(484,92,0),(47,49,116)
40,(484,141,0),(47,49,116)
41,(495,0,0),(47,49,116)
42,(531,49,0),(47,49,116)
43,(531,98,0),(47,49,116)
44,(531,147,0),(47,49,116)
45,(390,1,116),(47,116,49)
46,(390,117,116),(47,116,49)
47,(437,1,116),(47,116,49)
48,(437,117,116),(47,116,49)
49,(484,1,116),(47,116,49)
50,(484,117,116),(47,116,49)
51,(531,1,116),(47,116,49)
52,(531,117,116),(47,116,49)
53,(1,1,119),(47,116,49)
54,(1,117,119),(47,116,49)
55,(48,1,119),(47,116,49)
56,(48,117,119),(47,116,49)
57,(95,0,113),(44,68,79)
58,(139,0,113),(44,68,79)
59,(183,0,113),(44,68,79)
60,(227,0,113),(44,68,79)
61,(271,0,113),(44,68,79)
62,(315,0,113),(44,68,79)
63,(95,68,119),(44,68,79)
64,(95,136,119),(44,68,79)
65,(139,68,119),(44,68,79)
66,(139,136,119),(44,68,79)
67,(183,68,119),(44,68,79)
68,(183,136,119),(44,68,79)
69,(227,68,119),(44,68,79)
70,(227,136,119),(33,64,92)
71,(260,136,119),(33,64,92)
72,(271,68,119),(33,64,92)
73,(293,132,119),(33,64,92)
74,(304,68,119),(33,64,92)
75,(326,132,119),(33,64,92)
76,(337,68,119),(33,64,92)
77,(390,190,0),(64,33,92)
78,(454,190,0),(64,33,92)
79,(227,200,119),(64,33,92)
80,(291,200,119),(64,33,92)
81,(370,1,165),(64,92,33)
82,(370,93,165),(64,92,33)
83,(434,1,165),(49,52,54)
84,(434,53,165),(49,52,54)
85,(434,105,165),(49,52,54)
86,(434,157,165),(49,52,54)
87,(483,1,165),(49,52,54)
88,(483,53,165),(49,52,54)
89,(483,105,165),(49,52,54)
90,(483,157,165),(49,52,54)
91,(532,1,165),(49,52,54)
92,(532,53,165),(49,52,54)
93,(532,105,165),(49,52,54)
94,(532,157,165),(49,52,54)
95,(1,1,168),(52,54,49)
96,(542,0,0),(35,45,75)
97,(518,196,0),(45,35,75)
98,(0,92,59),(35,75,45)
99,(1,55,168),(35,75,45)
100,(1,130,168),(35,75,45)
101,(36,55,168),(35,75,45)
102,(36,130,168),(35,75,45)
103,(495,49,0),(30,37,99)
104,(359,132,119),(30,99,37)
105,(0,167,59),(29,33,57)
106,(0,200,59),(29,33,57)
107,(95,204,119),(33,29,57)
108,(128,204,119),(33,29,57)
109,(161,204,119),(33,29,57)
110,(194,204,119),(33,29,57)
111,(359,0,113),(29,57,33)
112,(518,196,75),(57,29,33)
113,(359,185,165),(57,29,33)
114,(71,204,176),(57,29,33)
115,(128,204,176),(57,29,33)
116,(53,1,168),(28,52,37)
117,(1,205,168),(52,28,37)
container,,,,587, 233, 220
