index,x,y,z,length,width,height
1,(0,0,0),(56,96,98)
2,(56,0,0),(56,96,98)
3,(112,0,0),(56,96,98)
4,(168,0,0),(56,96,98)
5,(224,0,0),(56,96,98)
6,(280,0,0),(56,96,98)
7,(336,0,0),(56,96,98)
8,(392,0,0),(56,96,98)
9,(448,0,0),(56,96,98)
10,(504,0,0),(56,96,98)
11,(0,0,98),(88,47,98)
12,(0,96,0),(47,88,98)
13,(88,0,98),(47,88,98)
14,(47,96,0),(47,88,98)
15,(135,0,98),(47,88,98)
16,(94,96,0),(47,88,98)
17,(182,0,98),(47,88,98)
18,(141,96,0),(47,88,98)
19,(229,0,98),(47,88,98)
20,(188,96,0),(33,92,113)
21,(221,96,0),(33,92,113)
22,(0,184,0),(92,33,113)
23,(254,96,0),(33,92,113)
24,(287,96,0),(33,92,113)
25,(320,96,0),(33,92,113)
26,(353,96,0),(33,92,113)
27,(386,96,0),(33,92,113)
28,(419,96,0),(57,72,78)
29,(476,96,0),(57,72,78)
30,(419,96,78),(57,72,78)
31,(476,96,78),(57,72,78)
32,(0,47,98),(57,72,78)
33,(57,88,98),(57,72,78)
34,(114,88,98),(57,72,78)
35,(92,160,98),(57,72,78)
36,(419,168,0),(39,59,119)
37,(458,168,0),(39,59,119)
38,(497,168,0),(39,59,119)
39,(533,96,0),(39,59,119)
40,(536,155,0),(39,59,119)
41,(149,188,0),(59,39,119)
42,(0,119,98),(39,59,119)
43,(276,0,98),(39,59,119)
44,(315,0,98),(39,59,119)
45,(354,0,98),(39,59,119)
46,(393,0,98),(39,59,119)
47,(432,0,98),(39,59,119)
48,(471,0,98),(47,49,116)
49,(518,0,98),(47,49,116)
50,(471,49,98),(49,47,116)
51,(520,49,98),(49,47,116)
52,(208,88,113),(47,116,49)
53,(255,88,113),(47,116,49)
54,(302,59,113),(47,116,49)
55,(349,59,113),(47,116,49)
56,(533,96,119),(47,116,49)
57,(208,188,0),(68,44,79)
58,(276,188,0),(68,44,79)
59,(344,188,0),(68,44,79)
60,(302,188,79),(68,44,79)
61,(0,178,113),(68,44,79)
62,(396,168,119),(68,44,79)
63,(464,168,119),(68,44,79)
64,(171,88,162),(68,79,44)
65,(239,88,162),(68,79,44)
66,(307,59,162),(68,79,44)
67,(307,138,162),(68,79,44)
68,(375,59,162),(68,79,44)
69,(149,167,162),(92,64,33)
70,(39,88,176),(92,64,33)
71,(443,96,156),(49,52,54)
72,(241,167,162),(49,52,54)
73,(92,184,0),(52,49,54)
74,(492,96,168),(52,54,49)
75,(544,96,168),(35,75,45)
76,(396,59,98),(75,35,45)
77,(57,47,98),(30,37,99)
78,(560,0,0),(23,44,83)
79,(560,44,0),(23,44,83)
80,(370,188,79),(23,44,83)
81,(68,160,113),(23,44,83)
82,(208,204,79),(83,23,44)
83,(0,0,196),(44,83,23)
84,(87,0,196),(44,83,23)
85,(131,0,196),(44,83,23)
86,(175,0,196),(44,83,23)
87,(219,0,196),(44,83,23)
88,(91,167,195),(83,44,23)
89,(375,138,162),(33,29,57)
90,(408,138,156),(33,29,57)
91,(532,171,168),(29,57,33)
92,(131,88,176),(29,57,33)
93,(92,184,54),(57,29,33)
94,(443,59,143),(28,37,52)
95,(149,160,98),(37,28,52)
96,(149,188,119),(52,28,37)
97,(201,204,123),(52,28,37)
container,,,,587, 233, 220
