index,x,y,z,length,width,height
1,(0,0,0),(73,99,120)
2,(73,0,0),(73,99,120)
3,(146,0,0),(73,99,120)
4,(219,0,0),(73,99,120)
5,(292,0,0),(73,99,120)
6,(365,0,0),(73,99,120)
7,(438,0,0),(73,99,120)
8,(511,0,0),(73,99,120)
9,(0,99,0),(73,120,99)
10,(73,99,0),(73,99,120)
11,(146,99,0),(73,99,120)
12,(219,99,0),(55,81,92)
13,(274,99,0),(55,81,92)
14,(329,99,0),(55,81,92)
15,(384,99,0),(55,81,92)
16,(439,99,0),(55,81,92)
17,(494,99,0),(55,81,92)
18,(219,99,92),(55,81,92)
19,(274,99,92),(55,81,92)
20,(329,99,92),(48,70,111)
21,(377,99,92),(48,70,111)
22,(425,99,92),(48,70,111)
23,(473,99,92),(48,70,111)
24,(521,99,92),(48,70,111)
25,(0,99,99),(48,70,111)
26,(219,180,0),(70,48,111)
27,(289,180,0),(70,48,111)
28,(359,180,0),(70,48,111)
29,(429,180,0),(70,48,111)
30,(0,0,120),(46,72,98)
31,(46,0,120),(46,72,98)
32,(48,72,120),(46,72,98)
33,(48,144,120),(46,72,98)
34,(92,0,120),(46,72,98)
35,(94,72,120),(46,72,98)
36,(94,144,120),(46,72,98)
37,(138,0,120),(46,72,98)
38,(140,72,120),(46,72,98)
39,(140,144,120),(46,72,98)
40,(184,0,120),(46,72,98)
41,(230,0,120),(46,72,98)
42,(73,198,0),(76,30,108)
43,(499,180,0),(76,30,108)
44,(499,169,108),(76,30,108)
45,(499,199,108),(76,30,108)
46,(219,180,111),(76,30,108)
47,(295,180,111),(76,30,108)
48,(371,169,111),(76,30,108)
49,(371,199,111),(76,30,108)
50,(186,72,120),(30,108,76)
51,(276,0,120),(108,30,76)
52,(276,30,120),(108,30,76)
53,(276,60,120),(108,30,76)
54,(384,0,120),(108,30,76)
55,(384,30,120),(108,30,76)
56,(384,60,120),(108,30,76)
57,(216,90,184),(108,76,30)
58,(492,0,120),(31,66,95)
59,(523,0,120),(31,66,95)
60,(554,0,120),(31,66,95)
61,(149,198,0),(66,31,95)
62,(492,66,120),(66,31,95)
63,(0,169,99),(25,43,110)
64,(549,99,0),(28,33,81)
65,(549,132,0),(28,33,81)
66,(447,169,111),(28,33,81)
67,(186,180,120),(28,33,81)
68,(558,66,120),(28,33,81)
69,(447,202,111),(33,28,81)
container,,,,587, 233, 220
