index,x,y,z,length,width,height
1,(0,0,0),(72,84,85)
2,(72,0,0),(72,84,85)
3,(144,0,0),(72,84,85)
4,(216,0,0),(72,84,85)
5,(288,0,0),(72,84,85)
6,(360,0,0),(72,84,85)
7,(432,0,0),(72,84,85)
8,(504,0,0),(72,84,85)
9,(0,0,85),(84,72,85)
10,(0,84,0),(72,84,85)
11,(72,84,0),(76,64,103)
12,(148,84,0),(64,76,103)
13,(212,84,0),(64,76,103)
14,(276,84,0),(64,76,103)
15,(340,84,0),(64,76,103)
16,(404,84,0),(64,76,103)
17,(468,84,0),(64,76,103)
18,(72,148,0),(64,76,103)
19,(136,160,0),(62,70,95)
20,(198,160,0),(62,70,95)
21,(260,160,0),(62,70,95)
22,(322,160,0),(62,70,95)
23,(384,160,0),(62,70,95)
24,(446,160,0),(62,70,95)
25,(532,84,0),(38,76,86)
26,(508,160,0),(76,38,86)
27,(84,0,85),(38,76,86)
28,(122,0,85),(38,76,86)
29,(160,0,85),(38,76,86)
30,(198,0,85),(38,76,86)
31,(236,0,85),(38,76,86)
32,(274,0,85),(38,76,86)
33,(312,0,85),(38,76,86)
34,(350,0,85),(38,76,86)
35,(388,0,85),(38,76,86)
36,(426,0,85),(38,76,86)
37,(0,168,0),(44,52,98)
38,(464,0,85),(44,52,98)
39,(508,0,85),(44,52,98)
40,(0,72,85),(44,52,98)
41,(532,52,86),(44,52,98)
42,(532,104,86),(44,52,98)
43,(532,156,86),(44,52,98)
44,(136,160,95),(44,52,98)
45,(180,160,95),(44,52,98)
46,(224,160,95),(47,48,71)
47,(271,160,95),(47,48,71)
48,(318,160,95),(47,48,71)
49,(365,160,95),(47,48,71)
50,(412,160,95),(47,48,71)
51,(459,160,95),(47,48,71)
52,(0,124,98),(47,48,71)
53,(0,172,98),(47,48,71)
54,(44,76,103),(47,48,71)
55,(91,76,103),(47,48,71)
56,(138,76,103),(47,48,71)
57,(185,76,103),(47,48,71)
58,(232,76,103),(47,48,71)
59,(279,76,103),(47,48,71)
60,(552,0,85),(26,49,111)
61,(506,160,95),(26,49,111)
62,(326,76,103),(26,49,111)
63,(352,76,103),(26,49,111)
64,(378,76,103),(26,49,111)
65,(404,76,103),(26,49,111)
66,(430,76,103),(26,49,111)
67,(456,76,103),(26,49,111)
68,(482,52,103),(26,49,111)
69,(482,101,103),(26,49,111)
70,(47,124,103),(33,43,90)
71,(80,124,103),(33,43,90)
72,(47,167,103),(33,43,90)
73,(80,167,103),(33,43,90)
74,(113,124,103),(43,33,90)
75,(156,124,103),(43,33,90)
76,(199,124,103),(43,33,90)
77,(242,124,103),(43,33,90)
78,(285,125,103),(43,33,90)
79,(224,157,166),(41,60,51)
80,(265,158,166),(41,60,51)
81,(306,158,166),(41,60,51)
82,(347,125,166),(41,60,51)
83,(388,125,166),(41,60,51)
84,(429,125,166),(41,60,51)
85,(347,185,166),(60,41,51)
86,(407,185,166),(60,41,51)
87,(0,0,170),(51,60,41)
88,(0,124,169),(40,74,42)
89,(51,0,171),(40,74,42)
90,(91,0,171),(40,74,42)
91,(131,0,171),(40,74,42)
92,(171,0,171),(39,61,48)
93,(210,0,171),(39,61,48)
94,(249,0,171),(39,61,48)
95,(288,0,171),(39,61,48)
96,(327,0,171),(39,61,48)
97,(366,0,171),(39,61,48)
98,(405,0,171),(39,61,48)
99,(44,74,174),(61,48,39)
100,(105,74,174),(61,48,39)
101,(166,74,174),(61,48,39)
102,(227,61,174),(61,48,39)
103,(44,168,0),(23,37,73)
104,(508,52,103),(23,37,73)
105,(508,89,103),(23,37,73)
106,(113,157,103),(23,37,73)
107,(113,194,103),(23,37,73)
108,(508,198,0),(37,23,73)
109,(545,198,0),(37,23,73)
110,(532,208,73),(37,23,73)
111,(47,210,103),(37,23,73)
112,(532,208,146),(37,23,73)
113,(467,185,166),(31,36,48)
114,(328,125,103),(36,31,48)
115,(364,125,103),(36,31,48)
116,(400,125,103),(36,31,48)
117,(436,125,103),(36,31,48)
118,(0,198,169),(36,31,48)
119,(288,61,174),(31,48,36)
120,(444,0,183),(31,48,36)
121,(475,0,183),(31,48,36)
122,(506,0,183),(31,48,36)
123,(44,205,0),(21,25,49)
124,(44,205,49),(21,25,49)
125,(224,208,95),(21,25,49)
126,(245,208,95),(21,25,49)
127,(266,208,95),(21,25,49)
128,(287,208,95),(21,25,49)
129,(308,208,95),(21,25,49)
130,(329,208,95),(21,25,49)
131,(350,208,95),(21,25,49)
132,(371,208,95),(21,25,49)
133,(392,208,95),(21,25,49)
134,(413,208,95),(21,25,49)
135,(434,208,95),(21,25,49)
container,,,,587, 233, 220
