index,x,y,z,length,width,height
1,(0,0,0),(59,80,106)
2,(59,0,0),(59,80,106)
3,(118,0,0),(59,80,106)
4,(177,0,0),(59,80,106)
5,(236,0,0),(59,80,106)
6,(295,0,0),(59,80,106)
7,(354,0,0),(59,80,106)
8,(413,0,0),(59,80,106)
9,(472,0,0),(59,80,106)
10,(0,0,106),(80,59,106)
11,(0,80,0),(59,80,106)
12,(80,0,106),(59,80,106)
13,(59,80,0),(59,80,106)
14,(139,0,106),(59,80,106)
15,(118,80,0),(59,80,106)
16,(198,0,106),(59,80,106)
17,(177,80,0),(59,80,106)
18,(257,0,106),(59,80,106)
19,(236,80,0),(59,80,106)
20,(316,0,106),(59,80,106)
21,(295,80,0),(59,80,106)
22,(375,0,106),(59,80,106)
23,(354,80,0),(59,80,106)
24,(434,0,106),(59,80,106)
25,(413,80,0),(59,80,106)
26,(472,80,0),(76,42,109)
27,(531,0,0),(42,76,109)
28,(472,122,0),(42,76,109)
29,(514,122,0),(42,76,109)
30,(0,160,0),(76,42,109)
31,(0,59,106),(42,76,109)
32,(42,80,106),(42,76,109)
33,(84,80,106),(42,76,109)
34,(126,80,106),(42,76,109)
35,(168,80,106),(42,76,109)
36,(210,80,106),(42,76,109)
37,(252,80,106),(42,76,109)
38,(294,80,106),(42,76,109)
39,(336,80,106),(42,76,109)
40,(378,80,106),(42,76,109)
41,(420,80,106),(42,76,109)
42,(76,156,106),(42,76,109)
43,(118,156,106),(42,76,109)
44,(160,156,106),(42,76,109)
45,(202,156,106),(42,76,109)
46,(244,156,106),(42,76,109)
47,(286,156,106),(42,76,109)
48,(328,156,106),(42,76,109)
49,(370,156,106),(42,76,109)
50,(76,160,0),(61,63,74)
51,(137,160,0),(61,63,74)
52,(198,160,0),(61,63,74)
53,(259,160,0),(61,63,74)
54,(320,160,0),(61,63,74)
55,(381,160,0),(61,63,74)
56,(462,80,109),(61,63,74)
57,(493,1,109),(61,63,74)
58,(462,143,109),(61,63,74)
59,(523,64,109),(61,63,74)
60,(523,127,109),(61,63,74)
61,(0,156,109),(61,63,74)
62,(412,206,74),(118,22,56)
63,(530,198,1),(56,22,118)
64,(412,206,130),(118,22,56)
65,(493,1,183),(56,118,22)
66,(76,160,74),(118,56,22)
67,(194,160,74),(118,56,22)
68,(462,119,183),(118,56,22)
69,(556,76,0),(25,60,71)
70,(556,136,0),(25,60,71)
71,(442,160,0),(25,60,71)
72,(554,1,109),(25,60,71)
73,(0,202,0),(60,25,71)
74,(312,160,74),(60,71,25)
75,(0,156,183),(60,71,25)
container,,,,587, 233, 220
