index,x,y,z,length,width,height
1,(0,0,0),(72,80,100)
2,(72,0,0),(72,80,100)
3,(144,0,0),(72,80,100)
4,(216,0,0),(72,80,100)
5,(288,0,0),(72,80,100)
6,(360,0,0),(72,80,100)
7,(432,0,0),(72,80,100)
8,(504,0,0),(72,80,100)
9,(0,0,100),(80,72,100)
10,(0,80,0),(72,80,100)
11,(80,0,100),(72,80,100)
12,(72,80,0),(72,80,100)
13,(152,0,100),(72,80,100)
14,(144,80,0),(72,80,100)
15,(224,0,100),(72,80,100)
16,(216,80,0),(72,80,100)
17,(0,160,0),(54,58,109)
18,(54,160,0),(54,58,109)
19,(108,160,0),(54,58,109)
20,(162,160,0),(54,58,109)
21,(216,160,0),(54,58,109)
22,(288,80,0),(58,54,109)
23,(346,80,0),(54,58,109)
24,(400,80,0),(54,58,109)
25,(454,80,0),(54,58,109)
26,(508,80,0),(54,58,109)
27,(288,134,0),(54,58,109)
28,(342,138,0),(54,58,109)
29,(396,138,0),(54,58,109)
30,(450,138,0),(54,58,109)
31,(504,138,0),(54,58,109)
32,(296,0,100),(58,54,109)
33,(354,0,100),(54,58,109)
34,(408,0,100),(43,77,87)
35,(451,0,100),(43,77,87)
36,(494,0,100),(43,77,87)
37,(537,0,100),(43,77,87)
38,(0,72,100),(43,77,87)
39,(43,80,100),(43,77,87)
40,(86,80,100),(43,77,87)
41,(129,80,100),(43,77,87)
42,(172,80,100),(43,77,87)
43,(215,80,100),(43,77,87)
44,(258,80,109),(43,77,87)
45,(301,54,109),(43,77,87)
46,(344,58,109),(43,77,87)
47,(387,77,109),(43,77,87)
48,(430,77,109),(43,77,87)
49,(473,77,109),(43,77,87)
50,(516,77,109),(43,77,87)
51,(301,131,109),(43,77,87)
52,(344,135,109),(43,77,87)
53,(387,154,109),(43,77,87)
54,(430,154,109),(39,54,88)
55,(469,154,109),(39,54,88)
56,(508,154,109),(39,54,88)
57,(547,154,109),(39,54,88)
58,(1,157,109),(39,54,88)
59,(40,157,109),(39,54,88)
60,(79,157,109),(39,54,88)
61,(118,157,109),(39,54,88)
62,(157,157,109),(39,54,88)
63,(196,157,109),(39,54,88)
64,(235,157,109),(39,54,88)
65,(270,192,0),(54,39,88)
66,(324,196,0),(54,36,94)
67,(378,196,0),(54,36,94)
68,(432,196,0),(54,36,94)
69,(486,196,0),(54,36,94)
70,(408,0,187),(94,55,30)
71,(1,80,187),(94,55,30)
72,(95,80,187),(94,55,30)
73,(540,196,0),(40,36,83)
74,(562,80,0),(22,54,91)
75,(562,134,0),(22,54,91)
76,(562,80,91),(22,54,91)
77,(274,157,109),(22,54,91)
78,(430,208,94),(54,22,91)
79,(484,208,94),(54,22,91)
80,(1,211,109),(54,22,91)
81,(55,211,109),(54,22,91)
82,(109,211,109),(54,22,91)
83,(163,211,109),(54,22,91)
84,(217,211,109),(54,22,91)
85,(271,211,94),(54,22,91)
86,(296,58,196),(54,91,22)
87,(350,58,196),(54,91,22)
88,(404,58,196),(54,91,22)
container,,,,587, 233, 220
