index,x,y,z,length,width,height
1,(0,0,0),(72,84,85)
2,(72,0,0),(72,84,85)
3,(144,0,0),(72,84,85)
4,(216,0,0),(72,84,85)
5,(288,0,0),(72,84,85)
6,(360,0,0),(72,84,85)
7,(432,0,0),(72,84,85)
8,(504,0,0),(72,84,85)
9,(0,0,85),(84,72,85)
10,(0,84,0),(72,84,85)
11,(84,0,85),(72,84,85)
12,(72,84,0),(72,84,85)
13,(156,0,85),(72,84,85)
14,(144,84,0),(72,84,85)
15,(228,0,85),(72,84,85)
16,(216,84,0),(72,84,85)
17,(288,84,0),(76,64,103)
18,(364,84,0),(64,76,103)
19,(428,84,0),(64,76,103)
20,(492,84,0),(64,76,103)
21,(288,148,0),(64,76,103)
22,(352,160,0),(76,64,103)
23,(300,0,85),(64,76,103)
24,(364,0,85),(64,76,103)
25,(428,0,85),(64,76,103)
26,(492,0,85),(64,76,103)
27,(0,72,85),(64,76,103)
28,(64,84,85),(64,76,103)
29,(128,84,85),(64,76,103)
30,(192,84,85),(64,76,103)
31,(0,148,85),(64,76,103)
32,(256,84,103),(64,76,103)
33,(428,160,0),(62,70,95)
34,(490,160,0),(62,70,95)
35,(64,160,85),(62,70,95)
36,(126,160,85),(62,70,95)
37,(188,160,85),(62,70,95)
38,(428,160,95),(62,70,95)
39,(490,160,95),(62,70,95)
40,(320,76,103),(62,70,95)
41,(382,76,103),(62,70,95)
42,(444,76,103),(62,70,95)
43,(506,76,103),(62,70,95)
44,(320,146,103),(62,70,95)
45,(250,160,103),(62,70,95)
46,(0,168,0),(95,62,70)
47,(95,168,0),(95,62,70)
48,(190,168,0),(95,62,70)
49,(382,146,103),(38,76,86)
50,(64,0,170),(86,76,38)
51,(150,0,170),(86,76,38)
52,(552,160,0),(26,49,111)
53,(556,0,85),(26,49,111)
54,(0,1,188),(49,111,26)
55,(49,76,188),(49,111,26)
56,(98,76,188),(49,111,26)
57,(147,76,188),(49,111,26)
58,(196,76,188),(49,111,26)
59,(0,112,188),(49,111,26)
60,(236,0,188),(111,49,26)
61,(347,0,188),(111,49,26)
62,(382,146,190),(111,49,26)
63,(552,146,111),(31,36,48)
64,(552,182,111),(31,36,48)
65,(552,146,159),(31,36,48)
66,(552,182,159),(31,36,48)
67,(458,0,188),(36,48,31)
68,(494,0,188),(36,48,31)
69,(49,187,188),(48,36,31)
70,(97,187,180),(48,36,31)
71,(145,187,180),(48,31,36)
72,(193,187,180),(48,31,36)
73,(556,84,0),(21,25,49)
74,(556,109,0),(21,25,49)
75,(556,134,0),(21,25,49)
76,(556,84,49),(21,25,49)
77,(556,109,49),(21,25,49)
78,(556,134,49),(21,25,49)
79,(556,49,85),(21,25,49)
80,(556,49,134),(21,25,49)
81,(552,209,0),(25,21,49)
82,(552,209,49),(25,21,49)
83,(530,0,188),(21,49,25)
84,(493,146,190),(21,49,25)
85,(514,146,190),(21,49,25)
86,(458,48,188),(49,21,25)
87,(236,49,170),(49,21,25)
88,(285,49,188),(49,21,25)
container,,,,587, 233, 220
