index,x,y,z,length,width,height
1,(0,0,0),(69,97,114)
2,(69,0,0),(69,97,114)
3,(138,0,0),(69,97,114)
4,(207,0,0),(69,97,114)
5,(276,0,0),(69,97,114)
6,(0,97,0),(47,97,105)
7,(47,97,0),(47,97,105)
8,(94,97,0),(47,97,105)
9,(141,97,0),(47,97,105)
10,(188,97,0),(60,73,105)
11,(248,97,0),(60,73,105)
12,(345,0,0),(60,73,105)
13,(308,97,0),(60,73,105)
14,(405,0,0),(60,73,105)
15,(368,73,0),(60,73,105)
16,(368,146,0),(60,73,105)
17,(465,0,0),(60,73,105)
18,(428,73,0),(60,73,105)
19,(428,146,0),(60,73,105)
20,(525,0,0),(55,76,106)
21,(488,76,0),(55,76,106)
22,(488,152,0),(55,76,106)
23,(188,170,0),(76,55,106)
24,(0,0,114),(55,76,106)
25,(55,0,114),(55,76,106)
26,(0,97,105),(55,76,106)
27,(110,0,114),(55,76,106)
28,(55,97,105),(55,76,106)
29,(165,0,114),(55,76,106)
30,(110,97,105),(55,78,103)
31,(220,0,114),(55,78,103)
32,(165,76,114),(55,78,103)
33,(165,154,106),(55,78,103)
34,(275,0,114),(55,78,103)
35,(220,97,106),(55,78,103)
36,(275,97,105),(52,77,90)
37,(330,0,114),(52,77,90)
38,(327,97,105),(52,77,90)
39,(382,0,105),(55,66,93)
40,(379,77,105),(55,66,93)
41,(379,143,105),(55,66,93)
42,(437,0,105),(55,66,93)
43,(264,170,0),(66,55,93)
44,(492,0,106),(55,66,93)
45,(434,66,105),(44,73,98)
46,(434,139,105),(44,73,98)
47,(478,66,106),(44,73,98)
48,(522,66,106),(44,73,98)
49,(478,139,106),(44,73,98)
50,(522,139,106),(44,73,98)
51,(0,173,105),(61,58,74)
52,(275,174,93),(61,58,74)
53,(543,76,0),(39,65,71)
54,(543,141,0),(39,65,71)
55,(547,0,106),(39,65,71)
56,(0,194,0),(65,39,71)
57,(65,194,0),(65,39,71)
58,(61,194,71),(65,39,71)
59,(61,175,142),(65,39,71)
60,(330,170,0),(23,58,82)
61,(336,174,82),(23,58,82)
62,(220,175,106),(23,58,82)
63,(243,175,106),(23,58,82)
64,(130,194,0),(58,23,82)
65,(275,78,195),(58,82,23)
66,(275,174,167),(82,58,23)
67,(126,175,105),(24,58,66)
68,(275,160,195),(58,66,24)
69,(126,175,171),(36,55,44)
70,(0,173,179),(44,55,36)
71,(543,206,0),(39,24,81)
72,(359,209,105),(39,24,81)
73,(543,76,71),(39,81,24)
74,(333,77,195),(39,81,24)
container,,,,587, 233, 220
