index,x,y,z,length,width,height
1,(0,0,0),(72,84,85)
2,(72,0,0),(72,84,85)
3,(144,0,0),(72,84,85)
4,(216,0,0),(72,84,85)
5,(288,0,0),(72,84,85)
6,(360,0,0),(72,84,85)
7,(432,0,0),(72,84,85)
8,(504,0,0),(72,84,85)
9,(0,0,85),(84,72,85)
10,(0,84,0),(72,84,85)
11,(84,0,85),(72,84,85)
12,(72,84,0),(72,84,85)
13,(156,0,85),(72,84,85)
14,(144,84,0),(72,84,85)
15,(228,0,85),(72,84,85)
16,(216,84,0),(72,84,85)
17,(288,84,0),(76,64,103)
18,(364,84,0),(64,76,103)
19,(428,84,0),(64,76,103)
20,(492,84,0),(64,76,103)
21,(288,148,0),(64,76,103)
22,(352,160,0),(76,64,103)
23,(300,0,85),(64,76,103)
24,(364,0,85),(64,76,103)
25,(428,0,85),(64,76,103)
26,(492,0,85),(64,76,103)
27,(0,72,85),(64,76,103)
28,(428,160,0),(62,70,95)
29,(490,160,0),(62,70,95)
30,(64,84,85),(62,70,95)
31,(126,84,85),(62,70,95)
32,(188,84,85),(62,70,95)
33,(0,148,85),(62,70,95)
34,(62,154,85),(62,70,95)
35,(124,154,85),(62,70,95)
36,(186,154,85),(62,70,95)
37,(428,160,95),(62,70,95)
38,(490,160,95),(62,70,95)
39,(250,84,103),(62,70,95)
40,(312,76,103),(62,70,95)
41,(374,76,103),(62,70,95)
42,(248,154,85),(38,76,86)
43,(436,76,103),(38,76,86)
44,(474,76,103),(38,76,86)
45,(512,76,103),(38,76,86)
46,(312,146,103),(38,76,86)
47,(350,146,103),(38,76,86)
48,(388,146,103),(38,76,86)
49,(0,168,0),(86,38,76)
50,(86,168,0),(86,38,76)
51,(172,168,0),(86,38,76)
52,(64,1,180),(76,86,38)
53,(0,0,170),(47,71,48)
54,(140,0,170),(47,71,48)
55,(187,0,170),(47,71,48)
56,(234,0,170),(47,71,48)
57,(248,154,171),(47,71,48)
58,(556,84,0),(26,49,111)
59,(556,133,0),(26,49,111)
60,(552,182,0),(26,49,111)
61,(556,0,85),(26,49,111)
62,(556,49,111),(26,111,49)
63,(556,49,160),(26,111,49)
64,(0,206,0),(111,26,49)
65,(111,206,0),(111,26,49)
66,(140,71,180),(49,111,26)
67,(189,71,180),(49,111,26)
68,(64,87,180),(49,111,26)
69,(0,71,188),(49,111,26)
70,(281,0,188),(111,49,26)
71,(552,160,111),(33,43,90)
72,(113,182,180),(90,43,33)
73,(203,182,180),(31,48,36)
74,(1,198,180),(48,31,36)
75,(49,198,180),(48,31,36)
76,(392,0,188),(36,48,31)
77,(428,0,188),(36,48,31)
78,(464,0,188),(36,48,31)
79,(500,0,188),(36,48,31)
80,(258,168,0),(21,25,49)
81,(258,193,0),(21,25,49)
82,(222,206,0),(21,25,49)
83,(552,203,111),(21,25,49)
84,(552,203,160),(21,25,49)
85,(258,168,49),(21,49,25)
86,(113,87,180),(21,49,25)
87,(436,48,189),(21,49,25)
88,(457,48,189),(21,49,25)
89,(478,48,189),(21,49,25)
90,(499,48,189),(21,49,25)
91,(520,48,189),(21,49,25)
92,(436,97,189),(21,49,25)
container,,,,587, 233, 220
